Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;
1;0,001;0,10230498812351596;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
3;0,016;0,1020066508313544;0;0;0;0;0;0,0;0;0;0;0;0;0,0;1;1;1;0;0;0,002097802;1;0;0;1;0;0,001978882;0;0;0;0;0;0,0;1;0;0;0;1;0,001346183;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
4;0,026;0,10181155977830614;0;0;0;0;0;0,0;1;1;1;0;0;0,001419077;1;1;1;0;0;0,002097802;1;0;0;1;0;0,001978882;0;0;0;0;0;0,0;1;0;0;0;1;0,001346183;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
6;0,04;0,10124022169437874;0;0;0;0;0;0,0;2;1;1;0;1;0,003623972;2;2;2;0;0;0,004005802;1;0;0;1;0;0,001978882;0;0;0;0;0;0,0;1;0;0;0;1;0,001346183;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
12;0,159;0,10121488519398303;1;0;0;0;1;0,001185378;3;1;1;0;2;0,004793145;2;2;2;0;0;0,004005802;1;0;0;1;0;0,001978882;1;1;1;0;0;0,007386684;2;0;0;0;2;0,002279839;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
15;0,184;0,10111269464238626;2;0;0;0;2;0,002824302;3;1;1;0;2;0,004793145;2;2;2;0;0;0,004005802;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;2;0;0;0;2;0,002279839;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
16;0,195;0,09834349206349247;2;0;0;0;2;0,002824302;3;1;1;0;2;0,004793145;3;3;3;0;0;0,006543523;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;2;0;0;0;2;0,002279839;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
17;0,204;0,09717756613756601;2;0;0;0;2;0,002824302;3;1;1;0;2;0,004793145;4;4;4;0;0;0,008779206;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;2;0;0;0;2;0,002279839;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
18;0,217;0,09403850437549732;2;0;0;0;2;0,002824302;3;1;1;0;2;0,004793145;5;5;5;0;0;0,011123011;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;2;0;0;0;2;0,002279839;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
20;0,229;0,09359554494828981;2;0;0;0;2;0,002824302;3;1;1;0;2;0,004793145;6;6;6;0;0;0,013611585;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
21;0,237;0,08995704412546535;2;0;0;0;2;0,002824302;3;1;1;0;2;0,004793145;7;7;7;0;0;0,016039948;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
23;0,244;0,08952493354598623;3;0;0;0;3;0,003729255;3;1;1;0;2;0,004793145;8;8;8;0;0;0,018172207;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
24;0,251;0,08872812333864988;3;0;0;0;3;0,003729255;3;1;1;0;2;0,004793145;9;9;9;0;0;0,020251847;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
25;0,257;0,08569485744737582;3;0;0;0;3;0,003729255;3;1;1;0;2;0,004793145;10;10;10;0;0;0,022436173;2;0;0;2;0;0,003696408;2;2;2;0;0;0,0163687;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
26;0,27;0,08567375432986979;3;0;0;0;3;0,003729255;3;1;1;0;2;0,004793145;10;10;10;0;0;0,022436173;2;0;0;2;0;0,003696408;3;3;3;0;0;0,025478515;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
28;0,292;0,08479360511590772;3;0;0;0;3;0,003729255;4;1;1;0;3;0,005866156;11;11;11;0;0;0,02509175;2;0;0;2;0;0,003696408;3;3;3;0;0;0,025478515;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
29;0,309;0,08453759658939564;3;0;0;0;3;0,003729255;4;1;1;0;3;0,005866156;12;12;12;0;0;0,027317059;2;0;0;2;0;0,003696408;3;3;3;0;0;0,025478515;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
31;0,327;0,08145491452991516;3;0;0;0;3;0,003729255;4;1;1;0;3;0,005866156;13;13;13;0;0;0,029701352;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
32;0,334;0,08095384615384671;3;0;0;0;3;0,003729255;4;1;1;0;3;0,005866156;14;14;14;0;0;0,032010997;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
33;0,341;0,0801017094017098;3;0;0;0;3;0,003729255;4;1;1;0;3;0,005866156;15;15;15;0;0;0,034228839;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
34;0,348;0,07709344042838029;3;0;0;0;3;0,003729255;4;1;1;0;3;0,005866156;16;16;16;0;0;0,036373536;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
36;0,356;0,07651512717536813;4;0;0;0;4;0,004649497;4;1;1;0;3;0,005866156;17;17;17;0;0;0,039171731;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
37;0,364;0,07570398929049493;4;0;0;0;4;0,004649497;4;1;1;0;3;0,005866156;18;18;18;0;0;0,041304454;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
39;0,371;0,07275126140633303;4;0;0;0;4;0,004649497;5;1;1;0;4;0,006962481;19;19;19;0;0;0,04324773;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
40;0,378;0,0723441760601169;4;0;0;0;4;0,004649497;5;1;1;0;4;0,006962481;20;20;20;0;0;0,045433975;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
41;0,385;0,07157423510466854;4;0;0;0;4;0,004649497;5;1;1;0;4;0,006962481;21;21;21;0;0;0,047495173;2;0;0;2;0;0,003696408;4;3;3;1;0;0,033710933;3;0;0;0;3;0,004290415;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
44;0,394;0,0683880548829684;4;0;0;0;4;0,004649497;5;1;1;0;4;0,006962481;22;22;22;0;0;0,049656608;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
45;0,401;0,06819026096314029;4;0;0;0;4;0,004649497;5;1;1;0;4;0,006962481;23;23;23;0;0;0,051887436;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
46;0,407;0,06773139628732627;4;0;0;0;4;0,004649497;5;1;1;0;4;0,006962481;24;24;24;0;0;0,05482687;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
48;0,423;0,06770492332526012;4;0;0;0;4;0,004649497;6;1;1;0;5;0,008502624;25;25;25;0;0;0,056942924;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
49;0,443;0,06708506860371033;4;0;0;0;4;0,004649497;6;1;1;0;5;0,008502624;26;26;26;0;0;0,059803672;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
50;0,452;0,06706526768899401;4;0;0;0;4;0,004649497;6;1;1;0;5;0,008502624;27;27;27;0;0;0,062029798;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
52;0,46;0,0639508090614862;4;0;0;0;4;0,004649497;7;1;1;0;6;0,009639736;28;28;28;0;0;0,06487891;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
53;0,467;0,063897734627829;4;0;0;0;4;0,004649497;7;1;1;0;6;0,009639736;29;29;29;0;0;0,067364281;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
54;0,476;0,06389061488672876;4;0;0;0;4;0,004649497;7;1;1;0;6;0,009639736;30;30;30;0;0;0,069404803;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
55;0,483;0,06387055016180965;4;0;0;0;4;0,004649497;7;1;1;0;6;0,009639736;31;31;31;0;0;0,07159834;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
57;0,491;0,06360323624595188;4;0;0;0;4;0,004649497;8;1;1;1;6;0,010629257;32;32;32;0;0;0,073879703;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
58;0,497;0,06300733549082771;4;0;0;0;4;0,004649497;8;1;1;1;6;0,010629257;33;33;33;0;0;0,0758652;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;1;0;0;1;0;0,003864345;1;0;0;1;0;0,094352066;
60;0,507;0,062481553398055056;4;0;0;0;4;0,004649497;8;1;1;1;6;0,010629257;34;34;34;0;0;0,077825884;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
61;0,514;0,05955317653419501;4;0;0;0;4;0,004649497;8;1;1;1;6;0,010629257;35;35;35;0;0;0,080034557;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
62;0,521;0,05891949175452493;4;0;0;0;4;0,004649497;8;1;1;1;6;0,010629257;36;36;36;0;0;0,082186811;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
63;0,527;0,0588667207353305;4;0;0;0;4;0,004649497;8;1;1;1;6;0,010629257;37;37;37;0;0;0,084119868;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
65;0,534;0,05804466071910974;5;0;0;0;5;0,005512339;8;1;1;1;6;0,010629257;38;38;38;0;0;0,086051809;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
66;0,541;0,05802822384427886;5;0;0;0;5;0,005512339;8;1;1;1;6;0,010629257;39;39;39;0;0;0,088045442;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
67;0,548;0,05802562854825288;5;0;0;0;5;0,005512339;8;1;1;1;6;0,010629257;40;40;40;0;0;0,090897159;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
68;0,554;0,058021086780207454;5;0;0;0;5;0,005512339;8;1;1;1;6;0,010629257;41;41;41;0;0;0,093288274;3;0;0;3;0;0,005253317;4;3;3;1;0;0,033710933;4;0;0;0;4;0,005145884;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
79;0,581;0,05507728997289629;5;0;0;0;5;0,005512339;8;1;1;1;6;0,010629257;50;42;42;8;0;0,111210887;4;0;0;4;0;0,007674372;4;3;3;1;0;0,033710933;5;0;0;0;5;0,006021081;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
80;0,592;0,05496910569105318;5;0;0;0;5;0,005512339;8;1;1;1;6;0,010629257;50;42;42;8;0;0,111210887;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
82;0,612;0,05463913279132404;6;0;0;0;6;0,006439114;8;1;1;1;6;0,010629257;51;43;43;8;0;0,113177576;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
83;0,639;0,05392281842818003;6;0;0;0;6;0,006439114;8;1;1;1;6;0,010629257;52;44;44;8;0;0,116365;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
84;0,646;0,05056104319477972;6;0;0;0;6;0,006439114;8;1;1;1;6;0,010629257;53;45;45;8;0;0,118245455;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
85;0,655;0,050543004618305964;6;0;0;0;6;0,006439114;8;1;1;1;6;0,010629257;54;46;46;8;0;0,120462855;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;2;0;0;2;0;0,006927166;1;0;0;1;0;0,094352066;
88;0,664;0,05036913882096794;6;0;0;0;6;0,006439114;9;1;1;1;7;0,011618577;55;47;47;8;0;0,122483274;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
89;0,672;0,05034240695462744;6;0;0;0;6;0,006439114;9;1;1;1;7;0,011618577;56;48;48;8;0;0,124484696;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
90;0,681;0,050312849769080015;6;0;0;0;6;0,006439114;9;1;1;1;7;0,011618577;57;49;49;8;0;0,128061985;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
91;0,688;0,05007986960064781;6;0;0;0;6;0,006439114;9;1;1;1;7;0,011618577;58;50;50;8;0;0,130228115;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
92;0,694;0,049557837544141226;6;0;0;0;6;0,006439114;9;1;1;1;7;0,011618577;59;51;51;8;0;0,132423111;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;5;0;0;0;5;0,006021081;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
94;0,703;0,04895973920129948;6;0;0;0;6;0,006439114;9;1;1;1;7;0,011618577;60;52;52;8;0;0,134781911;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;6;0;0;0;6;0,007019041;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
96;0,709;0,04894496060852582;6;0;0;0;6;0,006439114;10;1;1;1;8;0,012532003;61;53;53;8;0;0,136575986;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;6;0;0;0;6;0,007019041;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
97;0,716;0,045974291938993495;6;0;0;0;6;0,006439114;10;1;1;1;8;0,012532003;62;54;54;8;0;0,138393868;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;6;0;0;0;6;0,007019041;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
98;0,721;0,0459511982570765;6;0;0;0;6;0,006439114;10;1;1;1;8;0,012532003;63;55;55;8;0;0,140387959;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;6;0;0;0;6;0,007019041;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
99;0,727;0,045853812636161506;6;0;0;0;6;0,006439114;10;1;1;1;8;0,012532003;64;56;56;8;0;0,142343988;4;0;0;4;0;0,007674372;5;4;4;1;0;0,040753379;6;0;0;0;6;0,007019041;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
101;0,738;0,04583856209149928;6;0;0;0;6;0,006439114;10;1;1;1;8;0,012532003;65;57;57;8;0;0,144368753;4;0;0;4;0;0,007674372;6;4;4;2;0;0,045536574;6;0;0;0;6;0,007019041;3;0;0;3;0;0,010015311;1;0;0;1;0;0,094352066;
118;0,774;0,045812636165573184;6;0;0;0;6;0,006439114;12;1;1;2;9;0,014810733;75;58;58;17;0;0,162978585;5;0;0;5;0;0,009114271;6;4;4;2;0;0,045536574;8;0;0;0;8;0,008728252;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
119;0,78;0,04581176470587811;6;0;0;0;6;0,006439114;12;1;1;2;9;0,014810733;76;59;59;17;0;0,165004839;5;0;0;5;0;0,009114271;6;4;4;2;0;0,045536574;8;0;0;0;8;0,008728252;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
120;0,787;0,04580130718953834;6;0;0;0;6;0,006439114;12;1;1;2;9;0,014810733;77;60;60;17;0;0,166960278;5;0;0;5;0;0,009114271;6;4;4;2;0;0,045536574;8;0;0;0;8;0,008728252;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
121;0,793;0,04579934640522454;6;0;0;0;6;0,006439114;12;1;1;2;9;0,014810733;78;61;61;17;0;0,168853909;5;0;0;5;0;0,009114271;6;4;4;2;0;0,045536574;8;0;0;0;8;0,008728252;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
159;0,868;0,045798692810453234;7;0;0;0;7;0,007320033;14;1;1;4;9;0,016864196;111;62;62;49;0;0,228949054;6;0;0;6;0;0,010467224;6;4;4;2;0;0,045536574;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
171;0,895;0,04576339869280621;8;0;0;0;8;0,008138885;15;1;1;4;10;0,017907677;120;62;62;58;0;0,244956732;6;0;0;6;0;0,010467224;7;5;5;2;0;0,050042338;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
